,count,accidents,Latitude,Longitude,num_accidents_fatalities,State,County,City,fatalities_ratio
0,175,"{171521, 182785, 96776, 182284, 68111, 188945, 184342, 173596, 173087, 74272, 173603, 125990, 100912, 217139, 217140, 176704, 176706, 105542, 185933, 144982, 144983, 118872, 171607, 172631, 100955, 172633, 178266, 168545, 175714, 184933, 185447, 171113, 171625, 183917, 180846, 185454, 189555, 149110, 180859, 172670, 114306, 177796, 102021, 144518, 175238, 144520, 90764, 183949, 172691, 174740, 174741, 183446, 174744, 178841, 181916, 181921, 184481, 103077, 170161, 137906, 190131, 166068, 169143, 186561, 180419, 180420, 168647, 168648, 178375, 122059, 175821, 185039, 109776, 127185, 155130, 172242, 172244, 187898, 178392, 178393, 189144, 147677, 91872, 147686, 124136, 180975, 189679, 179441, 106739, 190712, 179449, 177402, 179451, 88828, 144640, 144644, 80645, 153349, 174864, 178452, 104725, 79638, 142104, 185625, 186138, 174875, 182044, 182045, 183071, 174880, 183072, 68901, 118567, 154919, 175914, 154923, 133932, 175915, 119599, 184629, 184630, 181560, 190267, 175934, 172352, 176452, 187209, 187211, 187213, 187217, 110074, 189267, 217430, 187223, 100184, 107875, 95588, 95589, 189798, 60785, 110453, 177525, 124796, 217468, 217470, 183167, 174469, 107403, 169869, 174989, 97679, 195474, 173461, 121751, 173463, 188314, 216992, 114081, 178082, 172453, 188326, 139183, 180155, 188863, 115141, 189390, 174031, 174032, 189391, 181716, 179686, 183787, 144889, 144890, 105981}",37.808264931428575,-122.36698338285716,0.0,California,San Francisco,San Francisco,0.0
1,117,"{124419, 53771, 53772, 206350, 206351, 45077, 45078, 45589, 45592, 153621, 165920, 44082, 38451, 38452, 44083, 58937, 59961, 131134, 148038, 44615, 44616, 45129, 45132, 112207, 148047, 136785, 129623, 134744, 150642, 163965, 112255, 53386, 53387, 133772, 212618, 212619, 46750, 46751, 44199, 204456, 204457, 42157, 42158, 60591, 125106, 43702, 43703, 148666, 148683, 129233, 160981, 37590, 122585, 55518, 55519, 139489, 45284, 147177, 45290, 57591, 36602, 36605, 59145, 120587, 151832, 44829, 44830, 112932, 139045, 122159, 205103, 57147, 126780, 139067, 208210, 36699, 36700, 167262, 149346, 145766, 46443, 207723, 126830, 145786, 212860, 136070, 141709, 44444, 44445, 151452, 151456, 45476, 45477, 140197, 151461, 205220, 42926, 42927, 138159, 207281, 42930, 125874, 42936, 59321, 118715, 167356, 209860, 113609, 210893, 210895, 36817, 53721, 53724, 138217, 131054, 132590, 55292}",35.20247548717949,-80.72597595726495,0.0,North Carolina,Mecklenburg,Charlotte,0.0
2,101,"{48641, 155144, 51721, 155147, 155148, 155151, 151575, 151576, 151577, 151578, 57883, 145438, 145439, 145440, 92208, 78385, 126001, 126002, 87097, 202816, 51777, 162375, 184917, 184919, 184921, 184923, 204893, 149105, 149106, 149116, 149120, 114307, 144522, 48788, 80029, 183463, 54442, 170159, 191152, 48818, 217266, 59572, 206551, 206555, 48350, 48358, 102121, 124143, 124148, 71434, 144654, 178959, 48400, 54544, 144656, 177936, 178457, 151357, 151358, 151359, 208189, 34126, 65364, 86357, 176469, 48985, 143709, 57699, 170343, 62824, 192890, 201084, 49037, 169872, 173457, 191379, 56222, 207263, 50604, 48560, 49076, 48572, 63932, 99260, 203710, 171976, 204244, 204245, 204246, 147417, 147418, 190941, 48607, 50656, 190943, 187363, 147428, 181736, 181737, 51693, 51694}",37.170182594059405,-121.98974413861384,0.0,California,Santa Clara,Los Gatos,0.0
3,98,"{183808, 182810, 181278, 174111, 211497, 131628, 174661, 115783, 184399, 186963, 106581, 164444, 169054, 130143, 169056, 170079, 188525, 82551, 123000, 135805, 167049, 167050, 167051, 179349, 175254, 188053, 126617, 179354, 144547, 134821, 179369, 152237, 188081, 207025, 190646, 174263, 183992, 190648, 109754, 181947, 174787, 169671, 187597, 186586, 155869, 173792, 122081, 169700, 169705, 213225, 173803, 182513, 186097, 170229, 170232, 170233, 170234, 187129, 146173, 170243, 172295, 172297, 187149, 93992, 136491, 110381, 147757, 188216, 144190, 177988, 185689, 48993, 181097, 184170, 181099, 63853, 63854, 181102, 150389, 184694, 189831, 189832, 189834, 179603, 171420, 174497, 140716, 186302, 176069, 121800, 121803, 180173, 171473, 168923, 168925, 148460, 179701, 170999}",34.00988644897959,-117.82333162244898,0.0,California,Los Angeles,Diamond Bar,0.0
4,91,"{175104, 217602, 217603, 50181, 186385, 199735, 56383, 188481, 54341, 178255, 211024, 189530, 145000, 181369, 185465, 190591, 174742, 184473, 96922, 186034, 81077, 169654, 169655, 169659, 59581, 200895, 175814, 127176, 127177, 127178, 127179, 163020, 166094, 146127, 189141, 217306, 168667, 188639, 54506, 188651, 59634, 48910, 185626, 185630, 87328, 119584, 119585, 119586, 119587, 169765, 180526, 187699, 171317, 175925, 119615, 119618, 49992, 49994, 189260, 189263, 171352, 179547, 190819, 188772, 219506, 160631, 160632, 160633, 160635, 182140, 160636, 218520, 172442, 187813, 216997, 169384, 169385, 185260, 50113, 179142, 174028, 184785, 184786, 190933, 184797, 56286, 187360, 187361, 133100, 144886, 175102}",38.1551797912088,-121.67644727472528,0.0,California,Sacramento,Isleton,0.0
5,96,"{171520, 177664, 50695, 115727, 174612, 176150, 112664, 142875, 142877, 186915, 211495, 56377, 218175, 185920, 162369, 109128, 205896, 207433, 120921, 120922, 185437, 180830, 189534, 185449, 180848, 178808, 200824, 183938, 189061, 183944, 174218, 161935, 178838, 50329, 181923, 49326, 186036, 187077, 102088, 163016, 163018, 163019, 72403, 180948, 176349, 172256, 80609, 48867, 179430, 179433, 179461, 208133, 109319, 167690, 167691, 167693, 167694, 59667, 207126, 107829, 169270, 54588, 187712, 192842, 204626, 180563, 54615, 175447, 188761, 191328, 189795, 48999, 49006, 219504, 206194, 212342, 177537, 177036, 177040, 169874, 177045, 180121, 50589, 216995, 180135, 87482, 218556, 86475, 216016, 189398, 207318, 117730, 183278, 171504, 171508, 201723}",38.15087608333334,-122.44945070833334,0.0,California,Sonoma,Petaluma,0.0
6,83,"{107522, 107531, 110603, 51216, 108053, 107034, 107559, 107566, 105007, 110156, 106578, 110164, 95831, 105051, 108123, 108145, 106610, 82036, 108150, 109177, 110726, 110727, 110217, 110731, 106639, 108690, 107668, 107162, 109726, 67246, 109744, 110256, 110779, 107708, 108222, 105153, 106691, 107217, 101589, 105685, 105177, 106718, 109291, 93947, 105727, 105735, 53532, 109340, 105248, 108833, 110374, 84792, 109882, 110411, 109901, 105810, 110420, 105300, 108398, 110446, 104831, 105358, 109968, 107933, 109985, 74146, 108963, 108969, 104874, 109994, 110507, 106927, 108482, 109001, 109009, 109015, 109021, 110558, 109030, 108007, 105966, 109049, 100349}",37.015585493975905,-76.45372145783134,0.0,Virginia,Newport News,Newport News,0.0
7,93,"{187396, 158725, 158726, 216076, 144397, 194573, 203793, 133139, 34329, 133149, 88608, 175137, 34347, 145464, 145465, 182842, 186942, 176191, 176193, 56400, 51798, 185945, 169562, 56412, 176737, 188513, 176740, 188516, 176743, 168555, 217204, 216187, 78481, 188050, 144019, 185499, 147103, 54447, 184016, 184019, 144606, 182500, 193767, 193768, 183017, 173802, 196331, 206068, 49909, 144123, 186622, 49918, 94975, 204030, 144132, 186628, 186630, 168712, 186632, 188682, 54557, 203061, 180028, 195401, 54614, 184150, 168792, 173930, 173954, 182664, 189322, 182672, 183184, 144795, 124828, 202139, 57766, 48554, 162219, 162220, 50118, 176071, 178119, 178120, 176074, 56270, 49624, 187864, 34267, 175585, 169447, 188391, 205308}",34.02753630107527,-118.27467292473116,0.0,California,Los Angeles,Los Angeles,0.0
8,85,"{174080, 174081, 180749, 171534, 186389, 168473, 168474, 182302, 177712, 109617, 162379, 126029, 108124, 106598, 176747, 169070, 179854, 179855, 190610, 145045, 184993, 190625, 189092, 183974, 174257, 172737, 190146, 170185, 170187, 170191, 175831, 187095, 155866, 155868, 146141, 26846, 180447, 169699, 81636, 109799, 168679, 168680, 180459, 175853, 217335, 146170, 180484, 143624, 147738, 156451, 180009, 180011, 156461, 130862, 156991, 180034, 171859, 214869, 185175, 54622, 103777, 197474, 110437, 182630, 217482, 217484, 174996, 66460, 185782, 185783, 185784, 168377, 175039, 139211, 139213, 178127, 165841, 178129, 157661, 49633, 49634, 188902, 185834, 174078, 174079}",33.916425928117654,-118.28608012117645,1.0,California,Los Angeles,Gardena,0.011764705882352941
9,80,"{34304, 217608, 174090, 168471, 189470, 179232, 144424, 204841, 57917, 57918, 86082, 187972, 126022, 135756, 217679, 200788, 168556, 34426, 34427, 216188, 216189, 34429, 34433, 180353, 185996, 114326, 178326, 48297, 152233, 48299, 196285, 196286, 34507, 34508, 34509, 34510, 181973, 210654, 210656, 132322, 49898, 205042, 49928, 190739, 49959, 194857, 181036, 185667, 49988, 49989, 133963, 215886, 157009, 158562, 212841, 203130, 93051, 189853, 197536, 120229, 34219, 34220, 34225, 95156, 121783, 121784, 121785, 121787, 121789, 121790, 139198, 121793, 139205, 144325, 217545, 187851, 187856, 176081, 185298, 202239}",34.040114100000004,-118.579200575,0.0,California,Los Angeles,Malibu,0.0
